"start24","end24","Applicant","Latitude","Longitude"
11,12,"Natan's Catering",37.7611829945051,-122.388118704077
11,12,"Natan's Catering",37.7583033956425,-122.393514054817
11,12,"Natan's Catering",37.7571245603861,-122.388529515257
11,12,"Natan's Catering",37.7531551067155,-122.391174184456
11,12,"Natan's Catering",37.7533400011811,-122.384128384237
11,12,"Natan's Catering",37.7507607694601,-122.401540291357
11,12,"Natan's Catering",37.7524049924783,-122.387000196298
11,12,"Natan's Catering",37.75023466372,-122.388046499994
11,12,"Natan's Catering",37.7454064294164,-122.390081224847
11,12,"Natan's Catering",37.7381177715919,-122.404418467212
11,12,"Natan's Catering",37.740303872806,-122.406059743494
11,12,"Natan's Catering",37.7300036831892,-122.478186325415
11,12,"Natan's Catering",37.7679955456856,-122.387549426547
11,12,"Natan's Catering",37.7674330173312,-122.392149114172
11,12,"Natan's Catering",37.7707029760975,-122.390790355566
11,14,"VK Industries, Inc.",37.7857115703107,-122.406535822182
11,14,"Natan's Catering",37.764741322675,-122.387124812179
11,14,"Natan's Catering",37.7620084580302,-122.385441811568
11,14,"Natan's Catering",37.7611829945051,-122.388118704077
11,14,"Natan's Catering",37.7583033956425,-122.393514054817
11,14,"Natan's Catering",37.7571245603861,-122.388529515257
11,14,"Natan's Catering",37.7531551067155,-122.391174184456
11,14,"Natan's Catering",37.7533400011811,-122.384128384237
11,14,"Natan's Catering",37.7507607694601,-122.401540291357
11,14,"Natan's Catering",37.7524049924783,-122.387000196298
11,14,"Natan's Catering",37.75023466372,-122.388046499994
11,14,"Natan's Catering",37.7454064294164,-122.390081224847
11,14,"Natan's Catering",37.7381177715919,-122.404418467212
11,14,"Natan's Catering",37.740303872806,-122.406059743494
11,14,"Natan's Catering",37.7300036831892,-122.478186325415
11,14,"Natan's Catering",37.7679955456856,-122.387549426547
11,14,"Natan's Catering",37.7674330173312,-122.392149114172
11,14,"Natan's Catering",37.7707029760975,-122.390790355566
11,17,"Tacos Santana",37.7399293110874,-122.391283611001
11,17,"Let's Be Frank",37.7767782913255,-122.423366722161
11,18,"Senor Sisig",37.7855022223973,-122.408206918155
11,19,"Creme Brulee To Go",37.7856812513257,-122.405778850215
11,19,"Creme Brulee To Go",37.7849061488879,-122.407072991554
11,21,"The Creme Brulee Cart",37.7908897937244,-122.399494126212
0,2,"Doc's of the Bay",37.7553847384504,-122.418811946749
0,2,"Subs on Hubs",37.7789806675378,-122.401876399982
0,3,"GOZA GOZA TACO",37.771814022357,-122.413989317366
0,3,"Teresa Hotdogs",37.7630427472863,-122.434353042649
0,3,"Julie's Hot Dogs",37.7586236968811,-122.418982387443
0,3,"Panchita's No. 2",37.7648798999969,-122.421594806498
0,3,"Halal Cart, LLC",37.7875261917666,-122.410019320411
0,3,"Halal Cart",37.7839488842882,-122.408008279363
12,13,"Natan's Catering",37.7555059783625,-122.385220879126
12,18,"Raspados El Yocateco",37.7634137197851,-122.419580630787
12,20,"Casey's Pizza, LLC",37.7758704298588,-122.423847229106
13,14,"Natan's Catering",37.7644655822132,-122.397747616123
13,14,"Natan's Catering",37.764741322675,-122.387124812179
13,14,"Natan's Catering",37.7620084580302,-122.385441811568
13,14,"Natan's Catering",37.7611829945051,-122.388118704077
13,14,"Natan's Catering",37.7583033956425,-122.393514054817
13,14,"Natan's Catering",37.7571245603861,-122.388529515257
13,14,"Natan's Catering",37.7531551067155,-122.391174184456
13,14,"Natan's Catering",37.7533400011811,-122.384128384237
13,14,"Natan's Catering",37.7507607694601,-122.401540291357
13,14,"Natan's Catering",37.7524049924783,-122.387000196298
13,14,"Natan's Catering",37.75023466372,-122.388046499994
13,14,"Natan's Catering",37.7454064294164,-122.390081224847
13,14,"Natan's Catering",37.7381177715919,-122.404418467212
13,14,"Natan's Catering",37.740303872806,-122.406059743494
13,14,"Natan's Catering",37.7300036831892,-122.478186325415
13,14,"Natan's Catering",37.7679955456856,-122.387549426547
13,14,"Natan's Catering",37.7674330173312,-122.392149114172
13,14,"Natan's Catering",37.7707029760975,-122.390790355566
13,16,"VK Industries, Inc.",37.7857115703107,-122.406535822182
16,22,"El Tonayense #60",37.7596236343405,-122.414706934828
16,20,"Celtic Catering",37.7857511160177,-122.406219118363
17,22,"Tacos Santana",37.7444364893036,-122.399228839168
17,20,"Bombay Blvd.",37.7921033879545,-122.397585967453
17,20,"Bombay Blvd.",37.7924309489844,-122.395771565795
17,20,"Bombay Blvd.",37.7885445211484,-122.399019231479
17,20,"Bombay Blvd.",37.7863836212372,-122.402297224865
17,21,"Sinthya's Hot Dogs",37.7544023207176,-122.418717635916
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.7818464873205,-122.388426441806
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.7878137881663,-122.405098834861
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.7889460031071,-122.403692234115
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.7891395577013,-122.401934924896
18,24,"Leo's Hot Dogs",37.7601914209313,-122.41913245488
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.787443441473,-122.407130420012
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.7874073985061,-122.407413025679
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.7889252304878,-122.406923276928
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.7822813709122,-122.388447868215
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.8052267720474,-122.416322260146
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.7849382299627,-122.400486828595
6,24,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",37.8062721441523,-122.42388615342
6,14,"Curbside Coffee",37.7899264436726,-122.391250706732
6,20,"Cheese Gone Wild",37.7982529941715,-122.399171569524
6,20,"Philz Coffee Truck",37.8051282283843,-122.432361422539
6,20,"Leticia Montes",37.7576217081709,-122.418887293706
6,20,"A Taste of Chicago",37.7301361101663,-122.399162749749
6,21,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",37.786635282569,-122.406472958687
6,21,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",37.7857732348758,-122.40591810922
6,21,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",37.7849061488879,-122.407072991554
18,24,"Doc's of the Bay",37.7649796673777,-122.421767009106
7,18,"Giant Burrito",37.7126886057408,-122.431934935332
7,18,"The Chai Cart",37.7924472039343,-122.397442495538
7,18,"The Chai Cart",37.7928878954774,-122.402704171869
7,18,"The Chai Cart",37.7877086092889,-122.400723790401
7,18,"888 Brannan L.P.",37.7715562139518,-122.405194076275
7,19,"San Pancho's Tacos",37.7242700620858,-122.459281116535
7,8,"Natan's Catering",37.7463072924429,-122.388364499595
7,20,"San Pancho's Tacos",37.7102018879206,-122.455579845083
